"DOY" "Depth" "Chl"
203 0 0.49
203 10.3 0.41
203 20.7 0.44
203 30.1 0.62
203 49.4 0.865
203 74.4 0.19
203 99.6 0.06
203 124.2 0.03
203 150 0.02
203 174 0.01
203 198.5 0.01
203 0 0.43
203 5.2 0.4
203 10 0.4
203 14.7 0.45
203 20.1 0.42
203 25.4 0.43
203 30.8 0.5
203 35.5 0.38
203 40.4 0.45
203 50.3 0.57
203 74.8 0.24
203 100.2 0.09
203 125.2 0.04
203 150 0.02
203 175.3 0.01
203 201 0.01
203 0 0.46
203 5.5 0.43
203 25.5 0.43
203 45.4 0.53
203 75.7 0.14
203 100.4 0.07
203 125.5 0.03
203 150 0.02
203 175.8 0.01
203 200.2 0.01
162 0 1.18
162 9.6 1.11
162 20.2 1.18
162 24.8 1.25
162 29.6 1.21
162 50 0.44
162 74.4 0.12
162 99.1 0.05
162 124.2 0.02
162 150 0.01
162 173.5 0.01
162 197.4 0
162 0 1.19
162 2.9 1.185
162 6.8 1.16
162 13.1 1.21
162 15.9 1.18
162 22.3 1.21
162 26.4 1.29
162 30.5 1.385
162 40.1 0.94
162 50.4 0.54
162 75 0.23
162 100 0.06
162 124.9 0.03
162 150 0.02
162 175.4 0.01
162 199.2 0.01
165 0 0.61
165 3.7 0.595
165 7.4 0.59
165 16 0.63
165 20.2 0.64
165 26.1 0.69
165 31.1 0.76
165 35.1 0.825
165 45 0.61
165 55.2 0.4
165 80.2 0.13
165 99.8 0.08
165 125.3 0.04
165 150 0.01
165 175.1 0.01
165 199.7 0.01
181 0 1.03
181 5.3 0.99
181 10.2 1
181 15.4 1.09
181 20.2 1.26
181 25.7 1.14
181 30.2 1.13
181 40.6 0.985
181 55.6 0.45
181 70.6 0.15
181 85.7 0.08
181 99.8 0.04
181 125 0.03
181 150 0.02
181 176.1 0.01
181 200.5 0.01
181 0 1.15
181 10.9 1.15
181 20.5 1.19
181 30.3 1.25
181 50.4 0.755
181 75.5 0.17
181 99.3 0.08
181 123.9 0.03
181 150 0.03
181 173.2 0.02
181 196.7 0.01
185 0 1.17
185 3.1 1.125
185 6.8 1.13
185 12.4 1.26
185 15.1 1.28
185 20.3 1.46
185 25.1 1.43
185 27.9 1.31
185 38.1 1.16
185 50.1 0.55
185 75.4 0.12
185 100.5 0.04
185 125.7 0.03
185 150 0.02
185 175.1 0.01
185 200.5 0.01
188 0 0.93
188 3.4 0.845
188 6.6 0.85
188 11.9 0.94
188 14.6 0.89
188 19.7 1.24
188 24.9 1.52
188 28.1 1.475
188 35.5 1.46
188 45.1 1.32
188 70.3 0.21
188 100.2 0.05
188 125.2 0.03
188 150 0.02
188 175.2 0.02
188 200.4 0.01
109 0 0.46
109 10.8 0.435
109 19.5 0.45
109 30.4 0.45
109 52.5 0.435
109 74.5 0.36
109 101 0.24
109 123.6 0.12
109 150 0.02
109 174.7 0.01
109 199 0.01
110 0 0.48
110 5.2 0.435
110 10.1 0.45
110 19.2 0.45
110 24.4 0.43
110 29 0.43
110 34.2 0.45
110 39.2 0.45
110 43.6 0.45
110 59.1 0.36
110 79.5 0.3
110 100.3 0.13
110 125.6 0.03
110 150 0.01
110 175.3 0.01
110 199.7 0.01
112 0 0.54
112 5.2 0.465
112 9.2 0.53
112 19.7 0.51
112 25 0.48
112 29.6 0.48
112 34.6 0.53
112 40.2 0.48
112 44.2 0.5
112 59.3 0.36
